_id	name	gender	culture	born	died	titles	aliases	father	mother	spouse	allegiances	books	povBooks	tvSeries	playedBy
characters:1		Unknown	Braavosi				The Daughter of the Dusk					A Feast for Crows			
characters:10		Unknown	Braavosi				The Veiled Lady					A Feast for Crows			
characters:100	Alysanne Bulwer	Female		In 291 AC		Lady of Blackcrown					House Bulwer of Blackcrown	A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1000	Sylwa Paege	Female								characters:1107	House Frey of the Crossing,House Paege	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1001	Symon Hollard	Male			At Duskendale	Ser,Master-at-arms at the Dun Fort					House Hollard	A Feast for Crows			
characters:1002	Symon Santagar	Male				Ser,Knight of Spottswood					House Santagar of Spottswood	A Feast for Crows,A Dance with Dragons			
characters:1003	Symond Botley	Male	Ironborn								House Botley of Lordsport	A Feast for Crows			
characters:1004	Symond Frey	Male		In or between 252 AC and 260 AC, at the Twins	In 300 AC (suspected), at The North					characters:1217	House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1005	Symond Templeton	Male				Ser,The Knight of Ninestars					House Templeton	A Feast for Crows,A Dance with Dragons			
characters:1006	Taena of Myr	Female	Myrish	In 276 AC (roughly)			Taena Merryweather,Myr			characters:796	House Merryweather of Longtable	A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1007	Talbert Serry	Male			In 300 AC, at near the Shield Islands, the Reach	Ser					House Serry of Southshield	A Feast for Crows			
characters:1008	Talla Tarly	Female									House Tarly of Horn Hill	A Storm of Swords			
characters:1009	Tallad	Male				Ser	Tallad the Tall				House Baratheon of King's Landing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:101	Alysanne Farman	Female				Lady				characters:422	House Farman of Faircastle,House Lannister of Casterly Rock	The World of Ice and Fire			
characters:1010	Tanda Stokeworth	Female		At Stokeworth	In 300 AC, at Stokeworth	Lady of Stokeworth					House Stokeworth of Stokeworth	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1011	Tanton Fossoway	Male				Ser					House Fossoway of Cider Hall	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1012	Terrance Lynderly	Male									House Lynderly of the Snakewood	A Feast for Crows			
characters:1013	Terrence Kenning	Male				Lord of Kayce					House Kenning of Kayce	A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1014	Terrence Toyne	Male			In 178 AC	Ser					House Toyne	A Storm of Swords,A Feast for Crows,A Dance with Dragons,The World of Ice and Fire			
characters:1015	The Sparr	Female	Ironborn			The Sparr					House Sparr of Great Wyk	A Feast for Crows			
characters:1016	The Stonehouse	Female	Ironborn			Lord Stonehouse					House Stonehouse of Old Wyk	A Feast for Crows			
characters:1017	Theo Wull	Male	Northern mountain clans		In 283 AC, at Tower of Joy		Buckets				House Wull	A Game of Thrones,A Storm of Swords			
characters:1018	Theodan Wells	Male	Northmen			Ser,Commander of the Warrior's Sons	Theodan the True				House Wells	A Feast for Crows,A Dance with Dragons			
characters:1019	Theodore Tyrell	Male				Ser				characters:636	House Tyrell of Highgarden	A Storm of Swords,A Feast for Crows			
characters:102	Alysanne Hightower	Female								characters:141	House Ambrose,House Hightower of the Hightower	A Feast for Crows			
characters:1020	Theomar Smallwood	Male				Lord of Acorn Hall				characters:851	House Smallwood of Acorn Hall	A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1021	Theomore Harlaw	Male				Lord of the Ten Towers,Lord Harlaw of Harlaw,Harlaw of Harlaw					House Harlaw of Harlaw	A Feast for Crows			
characters:1022	Theon Greyjoy	Male	Ironmen	In 278 AC or 279 AC, at Pyke		Prince of Winterfell,Captain of Sea Bitch,Lord of the Iron Islands (by law of the green lands)	Prince of Fools,Theon Turncloak,Reek,Theon Kinslayer				House Greyjoy of Pyke	A Game of Thrones,A Storm of Swords,A Feast for Crows	A Clash of Kings,A Dance with Dragons	Season 1,Season 2,Season 3,Season 4,Season 5	Alfie Allen
characters:1023	Theon Stark	Male	Northmen			King of Winter	The Hungry Wolf					A Game of Thrones,A Clash of Kings,A Dance with Dragons,The World of Ice and Fire			
characters:1024	Thoren Smallwood	Male			In 299 AC, at Fist of the First Men	First Ranger (self-styled)						A Clash of Kings,A Storm of Swords			
characters:1025	Tion Frey	Male		In or between 279 AC and 284 AC	In 299 AC, at Riverrun						House Frey of the Crossing,House Lannister of Casterly Rock	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1026	Tion Lannister	Male		In or between 211 AC and 219 AC	In 236 AC, at the Wendwater	Ser				characters:367	House Lannister of Casterly Rock	The World of Ice and Fire			
characters:1027	Titus Peake	Male				Lord of Starpike				characters:708	House Peake of Starpike	A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1028	Tom Costayne	Male				Ser	Long Tom Costayne				House Costayne of Three Towers	A Feast for Crows			
characters:1029	Tommen Baratheon	Female		291 AC		King of the Andals, the Rhoynar and the First Men,Lord of the Seven Kingdoms	The Boy King	characters:901	characters:238	characters:16		A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons		Season 1,Season 2,Season 4,Season 5	Callum Wharry,Dean-Charles Chapman
characters:103	Alysanne Lefford	Female				Lady of Golden Tooth					House Lefford of the Golden Tooth	A Feast for Crows,A Dance with Dragons			
characters:1030	Tommen Costayne	Female				Lord of the Three Towers					House Costayne of Three Towers	A Feast for Crows			
